Region Label,Cell Area,Nucleus Area,Nuclei In Cell,Cell/Nucleus Ratio,Pearson Correlation,P-value,M1 Coefficient,M2 Coefficient
2,7110,1316,1,5.40273556231003,0.6997792805011784,0.0,0.7345371647969284,0.9985222714798395
4,5255,832,1,6.316105769230769,0.5979538712372731,0.0,0.44503656669879244,1.0
7,5465,875,1,6.2457142857142856,0.32186518016297394,6.128528790504708e-132,0.412646273865736,0.9983757444504602
10,6151,1123,1,5.477292965271594,0.7736330907477476,0.0,0.9905757752546784,0.9973087170654251
11,6974,1075,1,6.4874418604651165,0.8490270652294972,0.0,0.9956075665277333,0.9987952053256008
15,5935,1055,1,5.625592417061611,0.5425392920187886,0.0,0.38254840334924783,0.9980092899800929
19,5526,816,1,6.772058823529412,0.5562484972479953,0.0,0.48889049852416566,0.9988782950084127
22,6534,853,1,7.660023446658851,0.5381299356583769,0.0,0.35052293878686147,1.0
23,3601,623,1,5.780096308186196,0.8091887984051318,0.0,0.8184331797235023,1.0
24,5605,759,1,7.384716732542819,0.04519007618362065,0.0007138618392185676,0.5362423753352479,1.0
25,4185,755,1,5.543046357615894,0.6114950651125426,0.0,0.7033394180178245,1.0
26,5176,596,1,8.684563758389261,0.8925220762913685,0.0,0.8769242852654728,0.99906191369606
27,3893,542,1,7.182656826568266,0.7438003556343411,0.0,0.6331707317073171,1.0
30,4737,701,1,6.757489300998573,0.7042521369224777,0.0,0.887351223894004,0.9966435185185185
