Region Label,Cell Area,Nucleus Area,Nuclei In Cell,Cell/Nucleus Ratio,Pearson Correlation,P-value,M1 Coefficient,M2 Coefficient
7,3109,547,1,5.683729433272394,0.7912805495788089,0.0,0.987215522712848,0.9838744126441692
8,4825,957,1,5.041797283176593,0.7817197630864273,0.0,0.8608120325470535,1.0
10,5443,947,1,5.747624076029567,0.7480904707485327,0.0,0.9989158067892927,0.9924716135546384
11,3703,595,1,6.223529411764706,0.6763370802382757,0.0,0.7454036577715581,0.9955282280603689
12,4030,790,1,5.10126582278481,0.6391796679115882,0.0,0.6512479201331115,1.0
13,3194,470,1,6.7957446808510635,0.8406536876898008,0.0,0.9724213691026827,0.9981626653601176
14,4020,683,1,5.88579795021962,0.87750087097429,0.0,0.8992192141220402,1.0
15,4101,619,1,6.625201938610663,0.8516065886575913,0.0,0.8530907668231612,0.9997553816046967
17,5168,1061,1,4.870876531573987,0.6919429456847874,0.0,0.5899482936918304,1.0
18,5364,1064,1,5.041353383458647,0.8430153362412449,0.0,0.8114178530203925,0.9997484909456741
19,4034,555,1,7.268468468468469,0.6096379504246753,0.0,0.9843931245386481,0.9903057697025567
20,3835,674,1,5.689910979228487,0.7455282556445562,0.0,0.7256081496443313,1.0
21,3790,668,1,5.673652694610778,0.4969495545356978,1.2902367727590638e-235,0.8016096065406234,0.9909828674481514
22,4983,629,1,7.922098569157392,0.6522936497572291,0.0,0.9932503374831259,0.9885700056029384
24,5848,1118,1,5.230769230769231,0.5183914843394731,0.0,0.9724666596660716,0.9902808519010379
28,4674,861,1,5.428571428571429,0.7623111050395968,0.0,0.858418415401424,0.9993748697645343
29,3948,655,1,6.027480916030535,0.7914156345685559,0.0,0.9276006918705214,0.9978553921568627
30,4808,801,1,6.002496878901373,0.7568349318631062,0.0,0.7484003475787977,0.997285374957584
31,4223,845,1,4.997633136094675,0.6490500341145384,0.0,0.5494691801558148,0.9943462897526502
