Cell_ID,Centroid_X,Centroid_Y,Area_px,Perimeter_px,Circularity
1,864,48,8924,623.33,0.289
2,983,109,193,102.91,0.229
3,185,184,2323,276.94,0.381
4,45,212,7413,678.54,0.202
5,234,196,5530,615.57,0.183
6,604,239,3183,326.29,0.376
7,257,253,2145,263.18,0.389
8,567,268,4081,475.14,0.227
9,702,327,9032,793.19,0.18
10,588,338,3957,401.75,0.308
11,492,356,7239,578.36,0.272
12,568,379,789,118.43,0.707
13,322,390,2466,492.22,0.128
14,645,428,10035,809.64,0.192
15,453,433,7158,839.68,0.128
16,286,457,13970,1102.17,0.145
17,771,450,10550,802.67,0.206
18,537,540,12021,738.57,0.277
19,875,551,6824,645.96,0.206
20,76,574,5489,833.54,0.099
21,383,564,3330,351.95,0.338
22,765,582,11200,771.39,0.237
23,114,606,5271,673.9,0.146
24,335,609,3793,431.26,0.256
25,403,616,4459,560.46,0.178
26,516,627,354,136.12,0.24
27,625,634,11592,1229.91,0.096
28,673,677,2134,252.11,0.422
29,62,669,288,116.57,0.266
30,807,709,7065,543.0,0.301
31,244,732,1748,226.65,0.428
32,395,720,7418,689.9,0.196
33,545,741,7529,715.98,0.185
34,194,753,8087,703.31,0.205
35,797,762,3519,338.25,0.387
36,578,804,2959,348.43,0.306
37,679,817,2830,386.33,0.238
38,729,850,1945,246.55,0.402
39,464,852,1734,257.48,0.329
40,396,857,6493,568.54,0.252
41,652,855,2851,405.45,0.218
42,700,881,1475,193.24,0.496
