Cell_ID,Centroid_X,Centroid_Y,Area_px
1,935,10,1422
2,836,38,4919
3,19,189,1440
4,195,200,5034
5,250,243,3311
6,582,246,3569
7,15,248,1893
8,698,307,4064
9,497,332,2802
10,582,342,3432
11,650,369,111
12,436,440,3304
13,786,441,4164
14,628,441,4672
15,322,460,5842
16,266,498,1629
17,570,520,4679
18,893,547,1989
19,95,569,6788
20,386,581,4910
21,765,592,7358
22,647,645,3125
23,657,683,2533
24,838,709,2058
25,397,712,3370
26,548,752,4370
27,789,747,5402
28,218,756,5025
29,576,807,2687
30,451,847,2319
31,378,856,1590
32,717,859,1913
33,671,847,5203
